Group	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Patient	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
clade_name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae	0	0	0	0	0	0	0.26441	0	0	0.05363	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	0	0	0.0885	0	0	0	0	0	0	0.03955	0	0	0.02169	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.00486	0	0.00138	0.00102	0	0	0	0.02482	0	0.0375	0	0	0	0	0	0	0	0	0	0	0.00071	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	0	0	0	0	0	0	0.01241	0	0	0.02459	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.00468	0.00966	0.03059	0.00289	5.46595	0.00068	0	0.02658	0	0.02093	0	0	0	0	0.31072	0.02807	0	0	0.06193	0	0.03025	0	0.00955
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.27033	0	0.16326	1.83704	0	0.0922	0.05821	0.93241	0.01114	0.02077	0.05418	0.07488	0.81957	1.32572	0.22479	3.80179	0.67112	1.25711	0.52368	1.32704	1.70745	1.39807	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0	0.03308	0.03617	0	0	0.02576	0.01042	0.12728	0	0.01958	0	1.34155	3.11463	0.40304	0	0.06511	0.46039	0.9066	0.63136	0.83523	0.49443	1.79423	0.01374
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.00357	0	0.06781	0.01003	0	0	0	0	0	0.01026	0.31104	0	0	0	0	0.11455	0.04022	0	0	0	0	0	0.55542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae	0	0	0	0	0	0	0.00088	0	0	0.00589	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae	0	0	0.25222	0.02789	0	0	0	0.00603	0	0.00077	0	0	0.08085	0	0	0	0.34851	0.02877	0	0	0	0.09403	0.02907
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified	3.53743	0.08852	2.05042	0.42065	0	0.14333	7.46654	0.76042	0.26193	14.47529	14.52486	1.22584	1.98037	0.6633	0	8.96549	6.74496	5.74285	0.78983	4.07542	1.02738	1.21628	13.40066
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	9.12986	0.10668	4.59122	6.98154	0	0.74503	1.74418	7.66513	0.24381	9.78472	7.18188	9.49024	4.33406	2.24968	1.99301	21.43312	8.97077	9.72713	3.65507	5.97461	5.66248	12.29414	2.06049
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.16006	38.07463	19.74755	20.53296	0	67.07472	0.66816	0.10606	55.59171	9.43551	0.3355	35.24029	37.86252	0	68.99121	3.82403	24.41777	0	0	42.10657	54.29371	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	23.44911	12.70528	34.55603	8.94908	0	1.59066	4.20041	17.96856	36.79543	8.3267	15.47299	10.80929	10.10863	25.60479	1.92753	3.62091	1.67033	11.06211	10.05267	2.81409	3.16494	23.61267	4.34343
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	13.88142	0	13.38771	5.68121	0	0.75741	13.95748	0.8812	0.25336	7.53851	19.21347	1.61324	0	1.42652	0.73679	0.85383	1.32373	2.75618	2.5111	1.31714	1.59687	1.14474	0.93497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0.54241	12.94104	2.97029	7.6187	0	5.54885	0.44242	15.87049	0.1104	4.5955	1.70708	12.72758	9.04762	10.74098	6.13172	5.45501	6.99713	8.59221	11.91018	8.60227	3.8333	6.96839	0.12914
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0.24798	0	0.53925	0.62482	0	0	0.14996	2.49245	0	3.38967	2.23834	0	0	0	6.84065	2.32681	0.71932	0.97305	1.2617	0.63296	0.91883	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1407	0	0	0	0	0	0	0	0	0	2.9828	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__GGB4266	0.3168	0	0	0	0	0	0	0	0.04982	2.80602	0	0	0	0	0	0	0	0	0	0	0	0	0
